n,steps,r_start,depth_len,sum_s,pressure_depth_count,first_pressure_j,first_pressure_depth,continuation_mass_at_first_pressure,retention_mass_at_first_pressure,l1_remainder,l2_remainder,l3_remainder,l4_remainder,l5_remainder,falling_l1,falling_l2,falling_l3,falling_l4,falling_l5
1,64,2,8,128,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
3,64,2,8,129,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
5,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
7,64,2,8,129,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
9,64,2,8,129,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
11,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
13,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
15,64,2,8,130,1,0,2,2,3,1,0,0,0,0,1,1,0,0,0
17,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
19,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
21,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
23,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
25,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
27,64,2,8,116,1,0,2,14,24,14,7,3,1,0,9,7,4,2,1
29,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
31,64,2,8,117,1,0,2,14,23,13,6,2,1,0,9,7,4,1,1
33,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
35,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
37,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
39,64,2,8,129,0,-1,-1,0,0,0,0,0,0,0,4,0,0,0,0
41,64,2,8,117,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
43,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
45,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
47,64,2,8,118,1,0,2,13,22,12,5,2,1,0,9,7,3,1,1
49,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
51,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
53,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
55,64,2,8,117,1,0,2,14,24,13,6,2,1,0,10,7,4,1,1
57,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
59,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
61,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
63,64,2,8,118,2,0,2,15,24,14,7,3,1,0,9,7,4,2,1
65,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
67,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
69,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
71,64,2,8,119,1,0,2,12,21,11,5,2,1,0,9,6,3,1,1
73,64,2,8,117,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
75,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
77,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
79,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
81,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
83,64,2,8,118,1,0,2,13,23,13,6,2,1,0,9,7,4,1,1
85,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
87,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
89,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
91,64,2,8,121,1,0,2,11,19,11,5,2,1,0,7,6,3,1,1
93,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
95,64,2,8,119,1,0,2,14,23,13,6,2,1,0,9,7,4,1,1
97,64,2,8,117,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
99,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
101,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
103,64,2,8,122,1,0,2,11,18,10,5,2,1,0,7,5,3,1,1
105,64,2,8,130,0,-1,-1,0,0,2,1,0,0,0,3,1,1,0,0
107,64,2,8,120,1,0,2,11,20,11,5,2,1,0,8,6,3,1,1
109,64,2,8,118,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
111,64,2,8,125,2,0,2,9,14,8,4,2,1,0,5,4,2,1,1
113,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
115,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
117,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
119,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
121,64,2,8,121,1,0,2,11,19,11,5,2,1,0,8,6,3,1,1
123,64,2,8,129,0,-1,-1,0,0,0,0,0,0,0,5,0,0,0,0
125,64,2,8,119,1,0,2,13,22,13,6,2,1,0,9,7,4,1,1
127,64,2,8,129,4,0,2,5,7,4,3,2,1,0,2,1,1,1,1
129,64,2,8,117,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
131,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
133,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
135,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
137,64,2,8,122,1,0,2,11,18,11,5,2,1,0,7,6,3,1,1
139,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,4,0,0,0,0
141,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
143,64,2,8,120,1,0,2,13,22,12,5,2,1,0,9,7,3,1,1
145,64,2,8,118,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
147,64,2,8,118,1,0,2,13,24,13,6,2,1,0,10,7,4,1,1
149,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
151,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
153,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
155,64,2,8,123,1,0,2,10,17,10,5,2,1,0,6,5,3,1,1
157,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,4,0,0,0,0
159,64,2,8,128,2,0,2,7,10,6,3,1,0,0,3,3,2,1,0
161,64,2,8,121,1,0,2,11,19,11,5,2,1,0,8,6,3,1,1
163,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
165,64,2,8,119,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
167,64,2,8,126,1,0,2,8,13,7,4,2,1,0,5,3,2,1,1
169,64,2,8,129,4,0,2,5,7,5,4,3,2,1,2,1,1,1,1
171,64,2,8,117,1,0,2,14,24,14,7,3,1,0,9,7,4,2,1
173,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
175,64,2,8,124,1,0,2,10,16,9,4,2,1,0,6,5,2,1,1
177,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
179,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
181,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
183,64,2,8,122,1,0,2,11,19,10,5,2,1,0,8,5,3,1,1
185,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,5,0,0,0,0
187,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,4,1,0,0,0
189,64,2,8,120,1,0,2,12,21,12,5,2,1,0,9,7,3,1,1
191,64,2,8,130,3,0,2,4,6,3,2,1,0,0,2,1,1,1,0
193,64,2,8,118,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
195,64,2,8,118,1,0,2,14,25,14,6,2,1,0,10,8,4,1,1
197,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
199,64,2,8,118,1,0,2,15,25,14,7,3,1,0,10,7,4,2,1
201,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
203,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
205,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
207,64,2,8,123,1,0,2,11,18,10,4,2,1,0,7,6,2,1,1
209,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,4,0,0,0,0
211,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
213,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
215,64,2,8,121,1,0,2,12,21,11,5,2,1,0,9,6,3,1,1
217,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
219,64,2,8,129,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
221,64,2,8,119,1,0,2,13,23,13,6,2,1,0,10,7,4,1,1
223,64,2,8,126,2,0,2,10,14,9,5,2,1,0,4,4,3,1,1
225,64,2,8,129,4,0,2,5,7,5,4,3,2,1,2,1,1,1,1
227,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
229,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
231,64,2,8,117,1,0,2,16,27,15,7,3,1,0,11,8,4,2,1
233,64,2,8,124,1,0,2,10,16,10,5,2,1,0,6,5,3,1,1
235,64,2,8,117,1,0,2,15,26,15,7,3,1,0,10,8,4,2,1
237,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
239,64,2,8,129,1,0,2,6,9,5,2,1,0,0,3,3,1,1,0
241,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
243,64,2,8,122,1,0,2,11,19,11,5,2,1,0,7,6,3,1,1
245,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
247,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,5,0,0,0,0
249,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
251,64,2,8,127,2,0,2,7,12,7,4,2,1,0,4,3,2,1,1
253,64,2,8,120,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
255,64,2,8,130,5,0,2,6,8,5,4,3,2,1,2,1,1,1,1
257,64,2,8,118,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
259,64,2,8,118,1,0,2,14,25,14,6,2,1,0,10,8,4,1,1
261,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
263,64,2,8,125,1,0,2,9,15,8,4,2,1,0,6,4,2,1,1
265,64,2,8,118,1,0,2,15,25,15,7,3,1,0,10,8,4,2,1
267,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
269,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
271,64,2,8,131,0,-1,-1,0,0,2,0,0,0,0,3,2,0,0,0
273,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
275,64,2,8,123,1,0,2,10,18,10,5,2,1,0,7,5,3,1,1
277,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
279,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,5,0,0,0,0
281,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,4,1,0,0,0
283,64,2,8,128,2,0,2,7,11,7,4,2,1,0,3,3,2,1,1
285,64,2,8,121,1,0,2,11,20,11,5,2,1,0,9,6,3,1,1
287,64,2,8,131,2,0,2,3,5,2,1,0,0,0,2,1,1,0,0
289,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
291,64,2,8,119,1,0,2,14,24,14,7,3,1,0,9,7,4,2,1
293,64,2,8,119,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
295,64,2,8,129,0,-1,-1,0,0,1,0,0,0,0,6,1,0,0,0
297,64,2,8,126,2,0,2,10,14,10,6,3,1,0,4,4,3,2,1
299,64,2,8,119,1,0,2,14,24,14,7,3,1,0,9,7,4,2,1
301,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
303,64,2,8,131,1,0,2,3,5,2,0,0,0,0,2,2,0,0,0
305,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
307,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
309,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
311,64,2,8,124,1,0,2,10,17,9,4,2,1,0,7,5,2,1,1
313,64,2,8,117,1,0,2,15,26,15,7,3,1,0,11,8,4,2,1
315,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
317,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
319,64,2,8,129,2,0,2,7,10,6,3,1,0,0,3,3,2,1,0
321,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
323,64,2,8,122,1,0,2,11,20,11,5,2,1,0,8,6,3,1,1
325,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
327,64,2,8,115,1,0,2,17,29,16,8,3,1,0,12,8,5,2,1
329,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
331,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
333,64,2,8,120,1,0,2,13,22,13,6,2,1,0,9,7,4,1,1
335,64,2,8,127,2,0,2,9,13,8,4,2,1,0,4,4,2,1,1
337,64,2,8,120,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
339,64,2,8,130,3,0,2,4,7,4,3,2,1,0,2,1,1,1,1
341,64,2,8,136,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
343,64,2,8,118,1,0,2,15,25,14,7,3,1,0,10,7,4,2,1
345,64,2,8,118,1,0,2,14,25,14,6,2,1,0,11,8,4,1,1
347,64,2,8,118,1,0,2,15,26,15,7,3,1,0,10,8,4,2,1
349,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
351,64,2,8,125,2,0,2,11,17,10,5,2,1,0,6,5,3,1,1
353,64,2,8,118,1,0,2,15,25,15,7,3,1,0,10,8,4,2,1
355,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
357,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
359,64,2,8,130,1,0,2,5,8,4,2,1,0,0,3,2,1,1,0
361,64,2,8,131,0,-1,-1,0,0,3,1,0,0,0,3,2,1,0,0
363,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
365,64,2,8,123,1,0,2,11,18,11,5,2,1,0,7,6,3,1,1
367,64,2,8,131,0,-1,-1,0,0,2,0,0,0,0,4,2,0,0,0
369,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
371,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,4,0,0,0,0
373,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
375,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,4,1,0,0,0
377,64,2,8,128,2,0,2,7,11,7,4,2,1,0,4,3,2,1,1
379,64,2,8,129,0,-1,-1,0,0,3,1,0,0,0,4,2,1,0,0
381,64,2,8,121,1,0,2,13,22,13,6,2,1,0,9,7,4,1,1
383,64,2,8,131,4,0,2,5,7,4,3,2,1,0,2,1,1,1,1
385,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
387,64,2,8,119,1,0,2,14,24,14,7,3,1,0,9,7,4,2,1
389,64,2,8,119,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
391,64,2,8,119,1,0,2,15,25,14,7,3,1,0,10,7,4,2,1
393,64,2,8,129,0,-1,-1,0,0,2,0,0,0,0,6,2,0,0,0
395,64,2,8,126,1,0,2,8,14,8,4,2,1,0,5,4,2,1,1
397,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
399,64,2,8,119,1,0,2,16,26,15,7,3,1,0,10,8,4,2,1
401,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
403,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
405,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
407,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
409,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
411,64,2,8,117,1,0,2,16,28,16,8,3,1,0,11,8,5,2,1
413,64,2,8,124,1,0,2,10,17,10,5,2,1,0,7,5,3,1,1
415,64,2,8,117,1,0,2,16,27,15,7,2,1,0,11,8,5,1,1
417,64,2,8,117,1,0,2,15,26,15,7,3,1,0,11,8,4,2,1
419,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,4,0,0,0,0
421,64,2,8,132,0,-1,-1,0,0,2,1,0,0,0,3,1,1,0,0
423,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
425,64,2,8,129,2,0,2,7,10,7,4,2,1,0,3,3,2,1,1
427,64,2,8,130,0,-1,-1,0,0,3,1,0,0,0,3,2,1,0,0
429,64,2,8,122,1,0,2,11,19,11,5,2,1,0,8,6,3,1,1
431,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
433,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
435,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
437,64,2,8,120,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
439,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,6,0,0,0,0
441,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
443,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,5,1,0,0,0
445,64,2,8,127,1,0,2,8,13,8,4,2,1,0,5,4,2,1,1
447,64,2,8,123,4,0,2,14,19,13,8,5,3,2,5,5,3,2,1
449,64,2,8,120,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
451,64,2,8,130,4,0,2,5,8,5,4,3,2,1,2,1,1,1,1
453,64,2,8,136,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
455,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
457,64,2,8,118,1,0,2,15,25,15,7,3,1,0,10,8,4,2,1
459,64,2,8,118,1,0,2,14,25,14,6,2,1,0,10,8,4,1,1
461,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
463,64,2,8,118,1,0,2,16,27,15,7,3,1,0,11,8,4,2,1
465,64,2,8,133,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
467,64,2,8,125,1,0,2,9,16,9,4,2,1,0,6,5,2,1,1
469,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
471,64,2,8,118,1,0,2,16,27,15,7,3,1,0,11,8,4,2,1
473,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
475,64,2,8,134,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
477,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
479,64,2,8,130,1,0,2,6,9,5,2,0,0,0,3,3,2,0,0
481,64,2,8,131,0,-1,-1,0,0,3,1,0,0,0,3,2,1,0,0
483,64,2,8,135,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
485,64,2,8,123,1,0,2,11,19,11,5,2,1,0,8,6,3,1,1
487,64,2,8,116,1,0,2,17,30,16,7,3,1,0,13,9,4,2,1
489,64,2,8,131,0,-1,-1,0,0,3,1,0,0,0,4,2,1,0,0
491,64,2,8,116,1,0,2,16,28,16,8,3,1,0,11,8,5,2,1
493,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,5,0,0,0,0
